Date,LTP
07/28/2019,425.0
07/29/2019,427.0
07/30/2019,429.0
07/31/2019,431.0
08/01/2019,430.0
08/04/2019,437.0
08/05/2019,433.0
08/06/2019,432.0
08/07/2019,435.0
08/08/2019,431.0
08/11/2019,430.0
08/12/2019,431.0
08/13/2019,428.0
08/14/2019,429.0
08/15/2019,430.0
08/18/2019,430.0
08/19/2019,431.0
08/20/2019,427.0
08/21/2019,429.0
08/22/2019,428.0
08/25/2019,427.0
08/26/2019,425.0
08/27/2019,426.0
08/28/2019,425.0
08/29/2019,426.0
09/01/2019,421.0
09/02/2019,417.0
09/03/2019,424.0
09/04/2019,426.0
09/05/2019,425.0
09/08/2019,422.0
09/09/2019,418.0
09/10/2019,418.0
09/11/2019,418.0
09/12/2019,416.0
09/15/2019,413.0
09/16/2019,408.0
09/17/2019,418.0
09/18/2019,423.0
09/19/2019,413.0
09/22/2019,414.0
09/23/2019,414.0
09/25/2019,412.0
09/26/2019,410.0
09/29/2019,418.0
09/30/2019,415.0
10/01/2019,417.0
10/02/2019,411.0
10/03/2019,416.0
10/10/2019,415.0
10/14/2019,410.0
10/15/2019,413.0
10/16/2019,414.0
10/17/2019,414.0
10/20/2019,413.0
10/21/2019,412.0
10/22/2019,411.0
10/23/2019,413.0
10/24/2019,414.0
10/31/2019,413.0
11/03/2019,412.0
11/04/2019,413.0
11/05/2019,416.0
11/06/2019,415.0
11/07/2019,415.0
11/10/2019,419.0
11/11/2019,421.0
11/12/2019,417.0
11/13/2019,416.0
11/14/2019,417.0
11/17/2019,415.0
11/18/2019,418.0
11/19/2019,416.0
11/20/2019,416.0
11/21/2019,412.0
11/24/2019,404.0
11/25/2019,409.0
11/26/2019,405.0
11/27/2019,409.0
11/28/2019,404.0
12/01/2019,404.0
12/02/2019,403.0
12/03/2019,401.0
12/04/2019,405.0
12/05/2019,405.0
12/08/2019,409.0
12/09/2019,411.0
12/10/2019,415.0
12/11/2019,414.0
12/12/2019,412.0
12/15/2019,413.0
12/16/2019,406.0
12/17/2019,407.0
12/18/2019,406.0
12/19/2019,404.0
12/22/2019,412.0
12/23/2019,412.0
12/24/2019,413.0
12/25/2019,414.0
12/26/2019,417.0
12/29/2019,370.0
12/30/2019,365.0
12/31/2019,366.0
01/01/2020,367.0
01/02/2020,359.0
01/05/2020,363.0
01/06/2020,371.0
01/07/2020,373.0
01/08/2020,369.0
01/09/2020,365.0
01/12/2020,371.0
01/13/2020,379.0
01/14/2020,378.0
01/15/2020,386.0
01/16/2020,391.0
01/19/2020,396.0
01/20/2020,389.0
01/21/2020,389.0
01/22/2020,386.0
01/23/2020,382.0
01/26/2020,372.0
01/27/2020,387.0
01/28/2020,386.0
01/29/2020,384.0
01/30/2020,384.0
02/02/2020,390.0
02/03/2020,388.0
02/04/2020,386.0
02/05/2020,385.0
02/06/2020,385.0
02/09/2020,381.0
02/10/2020,380.0
02/11/2020,385.0
02/12/2020,388.0
02/13/2020,384.0
02/16/2020,390.0
02/18/2020,397.0
02/19/2020,397.0
02/20/2020,398.0
02/23/2020,431.0
02/24/2020,432.0
02/25/2020,435.0
02/26/2020,453.0
02/27/2020,467.0
03/01/2020,452.0
03/02/2020,420.0
03/03/2020,425.0
03/04/2020,416.0
03/05/2020,405.0
03/10/2020,380.0
03/11/2020,406.0
03/12/2020,397.0
03/15/2020,382.0
03/16/2020,382.0
03/17/2020,378.0
03/18/2020,370.0
03/19/2020,376.0
03/22/2020,368.0
05/12/2020,357.0
05/13/2020,347.0
06/29/2020,329.0
06/30/2020,350.0
07/01/2020,380.0
07/02/2020,350.0
07/05/2020,356.0
07/06/2020,365.0
07/07/2020,374.0
07/08/2020,368.0
07/09/2020,368.0
07/12/2020,375.0
07/13/2020,375.0
07/14/2020,375.0
07/15/2020,385.0
07/16/2020,400.0
07/19/2020,432.0
07/20/2020,442.0
07/21/2020,431.0
07/22/2020,426.0
07/23/2020,428.0
07/26/2020,434.0
07/27/2020,433.0
07/28/2020,432.0
07/29/2020,422.0
07/30/2020,427.0
08/02/2020,406.0
08/03/2020,411.0
08/05/2020,407.0
08/06/2020,406.0
08/09/2020,412.0
08/10/2020,425.0
08/11/2020,419.0
08/12/2020,419.0
08/13/2020,415.0
08/16/2020,410.0
08/17/2020,415.0
08/18/2020,417.0
08/19/2020,409.0
08/20/2020,412.0
08/23/2020,414.0
08/24/2020,420.0
08/25/2020,421.0
08/26/2020,426.0
08/27/2020,425.0
08/30/2020,424.0
08/31/2020,429.0
09/02/2020,436.0
09/03/2020,432.0
09/06/2020,429.0
09/07/2020,424.0
09/08/2020,422.0
09/09/2020,423.0
09/10/2020,425.0
09/13/2020,429.0
09/14/2020,435.0
09/15/2020,433.0
09/16/2020,430.0
09/17/2020,437.0
09/20/2020,440.0
09/21/2020,436.0
09/22/2020,434.0
09/23/2020,436.0
09/24/2020,435.0
09/27/2020,440.0
09/28/2020,441.0
09/29/2020,438.0
09/30/2020,436.0
10/01/2020,439.0
10/04/2020,440.0
10/05/2020,439.0
10/06/2020,450.0
10/07/2020,448.0
10/08/2020,443.0
10/11/2020,439.0
10/12/2020,440.0
10/13/2020,439.0
10/14/2020,439.0
10/15/2020,442.0
10/18/2020,439.0
10/19/2020,440.0
10/20/2020,442.0
10/21/2020,450.0
10/22/2020,454.0
10/28/2020,473.0
10/29/2020,472.0
11/01/2020,477.0
11/02/2020,469.0
11/03/2020,467.0
11/04/2020,464.0
11/05/2020,470.0
11/08/2020,471.0
11/09/2020,472.0
11/10/2020,470.0
11/11/2020,479.0
11/12/2020,484.0
11/18/2020,487.0
11/19/2020,491.0
11/22/2020,505.0
11/23/2020,512.0
11/24/2020,512.0
11/25/2020,523.0
11/26/2020,525.0
11/29/2020,554.0
11/30/2020,541.0
12/01/2020,530.0
12/02/2020,535.0
12/03/2020,532.0
12/06/2020,517.0
12/07/2020,532.0
12/08/2020,547.0
12/09/2020,536.0
12/10/2020,535.0
12/13/2020,552.0
12/14/2020,535.0
12/15/2020,528.0
12/16/2020,527.0
12/17/2020,518.0
12/20/2020,492.0
12/21/2020,485.0
12/22/2020,503.0
12/23/2020,500.0
12/24/2020,493.0
12/27/2020,493.0
12/28/2020,492.0
12/29/2020,488.0
12/30/2020,422.0
12/31/2020,425.0
01/03/2021,440.0
01/04/2021,439.0
01/05/2021,435.0
01/06/2021,438.0
01/07/2021,438.0
01/10/2021,450.0
01/11/2021,451.0
01/12/2021,454.0
01/13/2021,450.0
01/17/2021,453.0
01/18/2021,448.0
01/19/2021,449.0
01/20/2021,444.0
01/21/2021,444.0
01/24/2021,446.0
01/25/2021,460.0
01/26/2021,484.0
01/27/2021,470.0
01/28/2021,459.0
01/31/2021,445.0
02/01/2021,446.0
02/02/2021,447.0
02/03/2021,451.0
02/04/2021,451.0
02/07/2021,450.0
02/08/2021,464.0
02/09/2021,457.0
02/10/2021,457.0
02/11/2021,451.0
02/14/2021,448.0
02/15/2021,456.0
02/16/2021,462.0
02/17/2021,467.0
02/18/2021,472.0
02/21/2021,473.0
02/22/2021,464.0
02/23/2021,455.0
02/24/2021,459.0
02/25/2021,455.0
02/28/2021,441.0
03/01/2021,445.0
03/02/2021,435.0
03/03/2021,428.0
03/04/2021,434.0
03/07/2021,430.0
03/09/2021,426.0
03/10/2021,426.0
03/14/2021,418.0
03/15/2021,417.0
03/16/2021,417.0
03/17/2021,423.0
03/18/2021,430.0
03/21/2021,437.0
03/22/2021,429.0
03/23/2021,427.0
03/24/2021,429.0
03/25/2021,431.0
03/29/2021,429.0
03/30/2021,428.0
03/31/2021,445.0
04/01/2021,439.0
04/04/2021,441.0
04/05/2021,437.0
04/06/2021,437.0
04/07/2021,437.0
04/08/2021,437.0
04/12/2021,437.0
04/13/2021,445.0
04/15/2021,448.0
04/18/2021,441.0
04/19/2021,433.0
04/20/2021,430.0
04/21/2021,429.0
04/22/2021,428.0
04/25/2021,419.0
04/26/2021,412.0
04/27/2021,416.0
04/28/2021,415.0
04/29/2021,419.0
05/02/2021,424.0
05/03/2021,418.0
05/04/2021,417.0
05/05/2021,417.0
05/06/2021,417.0
05/09/2021,419.0
05/10/2021,420.0
05/11/2021,421.0
05/12/2021,419.0
05/13/2021,419.0
05/16/2021,425.0
05/17/2021,428.0
05/18/2021,433.0
05/19/2021,435.0
05/20/2021,437.0
05/23/2021,445.0
05/24/2021,452.0
05/25/2021,446.0
05/27/2021,444.0
05/30/2021,448.0
05/31/2021,442.0
06/01/2021,437.0
06/02/2021,441.0
06/03/2021,450.0
06/06/2021,466.0
06/07/2021,459.0
06/08/2021,463.0
06/09/2021,462.0
06/10/2021,457.0
06/13/2021,461.0
06/14/2021,478.0
06/15/2021,487.0
06/16/2021,492.0
06/17/2021,490.0
06/20/2021,476.0
06/21/2021,470.0
06/22/2021,482.0
06/23/2021,471.0
06/24/2021,482.0
06/27/2021,493.0
06/28/2021,497.0
06/29/2021,485.0
06/30/2021,482.0
07/01/2021,484.0
07/04/2021,477.0
07/05/2021,476.0
07/06/2021,473.0
07/07/2021,471.0
07/08/2021,477.0
07/11/2021,488.0
07/12/2021,480.0
07/13/2021,481.0
07/14/2021,479.0
07/15/2021,479.0
07/18/2021,508.0
07/19/2021,512.0
07/20/2021,545.0
07/22/2021,588.0
07/25/2021,597.0
07/26/2021,579.0
07/27/2021,575.0
07/28/2021,570.0
07/29/2021,571.0
08/01/2021,568.0
08/02/2021,573.0
08/03/2021,580.0
08/04/2021,582.5
08/05/2021,580.0
08/08/2021,581.0
08/09/2021,580.0
08/10/2021,593.0
08/11/2021,589.0
08/12/2021,593.1
08/15/2021,594.0
08/16/2021,590.0
08/17/2021,583.9
08/18/2021,595.0
08/19/2021,590.5
08/24/2021,580.0
08/25/2021,569.2
08/26/2021,570.0
08/29/2021,559.0
08/31/2021,544.0
09/01/2021,548.5
09/02/2021,547.0
09/05/2021,529.0
09/06/2021,555.0
09/07/2021,544.0
09/08/2021,535.0
09/09/2021,535.3
09/12/2021,539.0
09/13/2021,546.0
09/14/2021,547.0
09/15/2021,536.0
09/16/2021,520.2
09/20/2021,507.9
09/21/2021,507.0
09/22/2021,529.0
09/23/2021,545.0
09/26/2021,540.0
09/27/2021,523.0
09/28/2021,509.0
09/29/2021,512.0
09/30/2021,508.0
10/03/2021,498.0
10/04/2021,497.0
10/05/2021,504.0
10/06/2021,506.0
10/10/2021,509.5
10/11/2021,509.0
10/17/2021,507.9
10/18/2021,496.0
10/19/2021,493.0
10/20/2021,503.8
10/21/2021,500.2
10/24/2021,503.0
10/25/2021,512.0
10/26/2021,525.0
10/27/2021,551.0
10/28/2021,538.0
10/31/2021,532.0
