Date,LTP
07/28/2019,2440.0
07/29/2019,2464.0
07/30/2019,2440.0
07/31/2019,2442.0
08/01/2019,2442.0
08/04/2019,2430.0
08/05/2019,2420.0
08/06/2019,2420.0
08/07/2019,2420.0
08/08/2019,2408.0
08/11/2019,2406.0
08/12/2019,2380.0
08/13/2019,2385.0
08/14/2019,2370.0
08/15/2019,2370.0
08/18/2019,2358.0
08/19/2019,2362.0
08/20/2019,2340.0
08/21/2019,2425.0
08/22/2019,2410.0
08/25/2019,2395.0
08/26/2019,2379.0
08/27/2019,2395.0
08/28/2019,2360.0
08/29/2019,2350.0
09/01/2019,2330.0
09/02/2019,2280.0
09/03/2019,2260.0
09/04/2019,2297.0
09/05/2019,1916.0
09/08/2019,1940.0
09/09/2019,1868.0
09/10/2019,1863.0
09/11/2019,1861.0
09/12/2019,1840.0
09/15/2019,1811.0
09/16/2019,1764.0
09/17/2019,1792.0
09/18/2019,1894.0
09/19/2019,1825.0
09/22/2019,1779.0
09/23/2019,1798.0
09/25/2019,1775.0
09/26/2019,1780.0
09/29/2019,1785.0
09/30/2019,1817.0
10/01/2019,1818.0
10/02/2019,1791.0
10/03/2019,1819.0
10/10/2019,1776.0
10/14/2019,1771.0
10/15/2019,1810.0
10/16/2019,1810.0
10/17/2019,1779.0
10/20/2019,1770.0
10/21/2019,1788.0
10/22/2019,1780.0
10/23/2019,1800.0
10/24/2019,1805.0
10/31/2019,1793.0
11/03/2019,1792.0
11/04/2019,1772.0
11/05/2019,1775.0
11/06/2019,1765.0
11/07/2019,1755.0
11/10/2019,1753.0
11/11/2019,1775.0
11/12/2019,1760.0
11/13/2019,1755.0
11/14/2019,1758.0
11/17/2019,1752.0
11/18/2019,1755.0
11/19/2019,1750.0
11/20/2019,1750.0
11/21/2019,1740.0
11/24/2019,1710.0
11/25/2019,1701.0
11/26/2019,1691.0
11/27/2019,1714.0
11/28/2019,1685.0
12/01/2019,1690.0
12/02/2019,1705.0
12/03/2019,1700.0
12/04/2019,1700.0
12/05/2019,1717.0
12/08/2019,1712.0
12/09/2019,1740.0
12/10/2019,1740.0
12/11/2019,1755.0
12/12/2019,1740.0
12/15/2019,1759.0
12/16/2019,1727.0
12/17/2019,1748.0
12/18/2019,1731.0
