Date,LTP
07/28/2019,660.0
07/29/2019,661.0
07/30/2019,662.0
07/31/2019,666.0
08/01/2019,664.0
08/04/2019,660.0
08/05/2019,658.0
08/06/2019,652.0
08/07/2019,652.0
08/08/2019,653.0
08/11/2019,667.0
08/12/2019,657.0
08/13/2019,655.0
08/14/2019,647.0
08/15/2019,641.0
08/18/2019,642.0
08/19/2019,651.0
08/20/2019,650.0
08/21/2019,651.0
08/22/2019,649.0
08/25/2019,655.0
08/26/2019,648.0
08/27/2019,650.0
08/28/2019,644.0
08/29/2019,644.0
09/01/2019,630.0
09/02/2019,613.0
09/03/2019,626.0
09/04/2019,626.0
09/05/2019,622.0
09/08/2019,610.0
09/09/2019,602.0
09/10/2019,598.0
09/11/2019,590.0
09/12/2019,580.0
09/15/2019,560.0
09/16/2019,550.0
09/17/2019,570.0
09/18/2019,587.0
09/19/2019,575.0
09/22/2019,568.0
09/23/2019,569.0
09/25/2019,558.0
09/26/2019,557.0
09/29/2019,554.0
09/30/2019,565.0
10/01/2019,577.0
10/02/2019,572.0
10/03/2019,575.0
10/10/2019,574.0
10/14/2019,560.0
10/15/2019,554.0
10/16/2019,546.0
10/17/2019,547.0
10/20/2019,549.0
10/21/2019,545.0
10/22/2019,546.0
10/23/2019,550.0
10/24/2019,557.0
10/31/2019,558.0
11/03/2019,559.0
11/04/2019,557.0
11/05/2019,557.0
11/06/2019,561.0
11/07/2019,557.0
11/10/2019,557.0
11/11/2019,555.0
11/12/2019,552.0
11/13/2019,551.0
11/14/2019,555.0
11/17/2019,555.0
11/18/2019,553.0
11/19/2019,551.0
11/20/2019,555.0
11/21/2019,548.0
11/24/2019,539.0
11/25/2019,538.0
11/26/2019,540.0
11/27/2019,545.0
11/28/2019,545.0
12/01/2019,537.0
12/02/2019,539.0
12/03/2019,541.0
12/04/2019,546.0
12/05/2019,546.0
12/08/2019,546.0
12/09/2019,551.0
12/10/2019,556.0
12/11/2019,563.0
12/12/2019,563.0
12/15/2019,575.0
12/16/2019,575.0
12/17/2019,573.0
12/18/2019,570.0
12/19/2019,569.0
12/22/2019,526.0
12/23/2019,529.0
12/24/2019,526.0
12/25/2019,526.0
12/26/2019,527.0
12/29/2019,525.0
12/30/2019,522.0
12/31/2019,525.0
01/01/2020,525.0
01/02/2020,527.0
01/05/2020,542.0
01/06/2020,558.0
01/07/2020,585.0
01/08/2020,585.0
01/09/2020,586.0
