Date,LTP
01/20/2020,277.0
01/21/2020,304.0
01/22/2020,305.0
01/23/2020,296.0
01/26/2020,289.0
01/27/2020,295.0
01/28/2020,290.0
01/29/2020,288.0
01/30/2020,289.0
02/02/2020,290.0
02/03/2020,289.0
02/04/2020,287.0
02/05/2020,286.0
02/06/2020,283.0
02/09/2020,282.0
02/10/2020,281.0
02/11/2020,281.0
02/12/2020,279.0
02/13/2020,276.0
02/16/2020,278.0
02/18/2020,286.0
02/19/2020,284.0
02/20/2020,283.0
02/23/2020,297.0
02/24/2020,292.0
02/25/2020,292.0
02/26/2020,296.0
02/27/2020,306.0
03/01/2020,312.0
03/02/2020,300.0
03/03/2020,300.0
03/04/2020,288.0
03/05/2020,286.0
03/10/2020,270.0
03/11/2020,280.0
03/12/2020,274.0
03/15/2020,266.0
03/16/2020,265.0
03/17/2020,259.0
03/18/2020,254.0
03/19/2020,255.0
03/22/2020,248.0
05/12/2020,241.0
05/13/2020,234.0
06/29/2020,226.0
06/30/2020,244.0
07/01/2020,263.0
07/02/2020,239.0
07/05/2020,237.0
07/06/2020,241.0
07/07/2020,245.0
07/08/2020,243.0
07/09/2020,243.0
07/12/2020,239.0
07/13/2020,241.0
07/14/2020,241.0
07/15/2020,239.0
07/16/2020,253.0
07/19/2020,263.0
07/20/2020,272.0
07/21/2020,271.0
07/22/2020,262.0
07/23/2020,263.0
07/26/2020,267.0
07/27/2020,267.0
07/28/2020,262.0
07/29/2020,259.0
07/30/2020,259.0
08/02/2020,250.0
08/03/2020,251.0
08/05/2020,248.0
08/06/2020,247.0
08/09/2020,250.0
08/10/2020,256.0
08/11/2020,257.0
08/12/2020,256.0
08/13/2020,254.0
08/16/2020,252.0
08/17/2020,253.0
08/18/2020,254.0
08/19/2020,251.0
08/20/2020,251.0
08/23/2020,252.0
08/24/2020,252.0
08/25/2020,253.0
08/26/2020,258.0
08/27/2020,256.0
08/30/2020,254.0
08/31/2020,255.0
09/02/2020,264.0
09/03/2020,265.0
09/06/2020,266.0
09/07/2020,263.0
09/08/2020,260.0
09/09/2020,260.0
09/10/2020,263.0
09/13/2020,263.0
09/14/2020,264.0
09/15/2020,265.0
09/16/2020,263.0
09/17/2020,269.0
09/20/2020,272.0
09/21/2020,274.0
09/22/2020,269.0
09/23/2020,269.0
09/24/2020,269.0
09/27/2020,271.0
09/28/2020,270.0
09/29/2020,268.0
09/30/2020,265.0
10/01/2020,272.0
10/04/2020,279.0
10/05/2020,277.0
10/06/2020,275.0
10/07/2020,276.0
10/08/2020,275.0
10/11/2020,271.0
10/12/2020,272.0
10/13/2020,272.0
10/14/2020,271.0
10/15/2020,272.0
10/18/2020,272.0
10/19/2020,275.0
10/20/2020,276.0
10/21/2020,282.0
10/22/2020,288.0
10/28/2020,301.0
10/29/2020,299.0
11/01/2020,297.0
11/02/2020,291.0
11/03/2020,294.0
11/04/2020,293.0
11/05/2020,292.0
11/08/2020,294.0
11/09/2020,293.0
11/10/2020,293.0
11/11/2020,293.0
11/12/2020,295.0
11/18/2020,300.0
11/19/2020,300.0
11/22/2020,304.0
11/23/2020,308.0
11/24/2020,307.0
11/25/2020,311.0
11/26/2020,318.0
11/29/2020,349.0
11/30/2020,360.0
12/01/2020,349.0
12/02/2020,353.0
12/03/2020,345.0
12/06/2020,329.0
12/07/2020,339.0
12/08/2020,339.0
12/09/2020,330.0
12/10/2020,329.0
12/13/2020,336.0
12/14/2020,341.0
12/15/2020,339.0
12/16/2020,342.0
12/17/2020,339.0
12/20/2020,327.0
12/21/2020,333.0
12/22/2020,343.0
12/23/2020,348.0
12/24/2020,359.0
12/27/2020,352.0
12/28/2020,353.0
12/29/2020,350.0
12/30/2020,306.0
12/31/2020,309.0
01/03/2021,320.0
01/04/2021,318.0
01/05/2021,314.0
01/06/2021,315.0
01/07/2021,315.0
01/10/2021,328.0
01/11/2021,338.0
01/12/2021,340.0
01/13/2021,339.0
01/17/2021,336.0
01/18/2021,336.0
01/19/2021,334.0
01/20/2021,333.0
01/21/2021,332.0
01/24/2021,335.0
01/25/2021,337.0
01/26/2021,336.0
01/27/2021,334.0
01/28/2021,341.0
01/31/2021,334.0
02/01/2021,348.0
02/02/2021,381.0
02/03/2021,400.0
02/04/2021,400.0
02/07/2021,400.0
02/08/2021,414.0
02/09/2021,417.0
02/10/2021,448.0
02/11/2021,452.0
02/14/2021,441.0
02/15/2021,476.0
02/16/2021,498.0
02/17/2021,500.0
02/18/2021,486.0
02/21/2021,475.0
02/22/2021,483.0
02/23/2021,474.0
02/24/2021,478.0
02/25/2021,464.0
02/28/2021,438.0
03/01/2021,448.0
03/02/2021,438.0
03/03/2021,429.0
03/04/2021,445.0
03/07/2021,462.0
03/09/2021,447.0
03/10/2021,441.0
03/14/2021,428.0
03/15/2021,420.0
03/16/2021,421.0
03/17/2021,429.0
03/18/2021,434.0
03/21/2021,438.0
03/22/2021,432.0
03/23/2021,429.0
03/24/2021,430.0
03/25/2021,428.0
03/29/2021,424.0
03/30/2021,425.0
03/31/2021,438.0
04/01/2021,437.0
04/04/2021,448.0
04/05/2021,443.0
04/06/2021,443.0
04/07/2021,443.0
04/08/2021,443.0
04/12/2021,443.0
04/13/2021,450.0
04/15/2021,459.0
04/18/2021,450.0
04/19/2021,445.0
04/20/2021,443.0
04/21/2021,438.0
04/22/2021,439.0
04/25/2021,428.0
04/26/2021,415.0
04/27/2021,428.0
