Date,LTP
07/28/2019,546.0
07/29/2019,550.0
07/30/2019,547.0
07/31/2019,554.0
08/01/2019,545.0
08/04/2019,548.0
08/05/2019,548.0
08/06/2019,548.0
08/07/2019,558.0
08/08/2019,548.0
08/11/2019,547.0
08/12/2019,546.0
08/13/2019,554.0
08/14/2019,545.0
08/15/2019,540.0
08/18/2019,548.0
08/19/2019,549.0
08/20/2019,555.0
08/21/2019,557.0
08/22/2019,560.0
08/25/2019,555.0
08/26/2019,550.0
08/27/2019,552.0
08/28/2019,547.0
08/29/2019,542.0
09/01/2019,536.0
09/02/2019,522.0
09/03/2019,523.0
09/04/2019,539.0
09/05/2019,535.0
09/08/2019,530.0
09/09/2019,526.0
09/10/2019,526.0
09/11/2019,520.0
09/12/2019,518.0
09/15/2019,507.0
09/16/2019,496.0
09/17/2019,500.0
09/18/2019,515.0
09/19/2019,507.0
09/22/2019,498.0
09/23/2019,500.0
09/25/2019,490.0
09/26/2019,487.0
09/29/2019,481.0
09/30/2019,480.0
10/01/2019,500.0
10/02/2019,498.0
10/03/2019,506.0
10/14/2019,493.0
10/15/2019,493.0
10/16/2019,493.0
10/17/2019,502.0
10/20/2019,500.0
10/21/2019,490.0
10/22/2019,494.0
10/23/2019,505.0
10/24/2019,507.0
10/31/2019,504.0
11/03/2019,496.0
11/04/2019,494.0
11/05/2019,492.0
11/06/2019,485.0
11/07/2019,480.0
11/10/2019,480.0
11/11/2019,487.0
11/12/2019,484.0
11/13/2019,490.0
11/14/2019,484.0
11/17/2019,480.0
11/18/2019,480.0
11/19/2019,486.0
11/20/2019,490.0
11/21/2019,476.0
11/24/2019,471.0
11/25/2019,469.0
11/26/2019,470.0
11/27/2019,474.0
11/28/2019,478.0
12/01/2019,478.0
12/02/2019,479.0
12/03/2019,485.0
12/04/2019,494.0
12/05/2019,490.0
12/08/2019,485.0
12/09/2019,492.0
12/10/2019,498.0
12/11/2019,501.0
12/12/2019,504.0
12/15/2019,503.0
12/16/2019,499.0
12/17/2019,500.0
12/18/2019,491.0
12/19/2019,491.0
12/22/2019,499.0
12/23/2019,491.0
12/24/2019,498.0
12/25/2019,515.0
12/26/2019,506.0
12/29/2019,505.0
12/30/2019,507.0
12/31/2019,507.0
01/01/2020,509.0
01/02/2020,501.0
01/05/2020,504.0
01/06/2020,528.0
01/07/2020,540.0
01/08/2020,541.0
01/09/2020,544.0
01/12/2020,556.0
01/13/2020,569.0
01/14/2020,562.0
01/15/2020,575.0
01/16/2020,579.0
01/19/2020,576.0
01/20/2020,561.0
01/21/2020,579.0
01/22/2020,578.0
01/23/2020,567.0
01/26/2020,566.0
01/27/2020,514.0
01/28/2020,510.0
01/29/2020,498.0
01/30/2020,504.0
02/02/2020,522.0
02/03/2020,522.0
02/04/2020,515.0
02/05/2020,532.0
02/06/2020,529.0
02/09/2020,522.0
02/10/2020,520.0
02/11/2020,528.0
02/12/2020,532.0
02/13/2020,528.0
02/16/2020,525.0
02/18/2020,569.0
02/19/2020,575.0
02/20/2020,574.0
02/23/2020,615.0
02/24/2020,610.0
02/25/2020,614.0
02/26/2020,635.0
02/27/2020,698.0
03/01/2020,681.0
03/02/2020,655.0
03/03/2020,650.0
03/04/2020,610.0
03/05/2020,604.0
03/10/2020,573.0
03/11/2020,596.0
03/12/2020,584.0
03/15/2020,549.0
03/16/2020,548.0
03/17/2020,525.0
03/18/2020,511.0
03/19/2020,520.0
03/22/2020,500.0
05/12/2020,485.0
05/13/2020,471.0
06/29/2020,452.0
06/30/2020,489.0
07/01/2020,537.0
07/02/2020,518.0
07/05/2020,510.0
07/06/2020,516.0
07/07/2020,530.0
07/08/2020,521.0
07/09/2020,516.0
07/12/2020,510.0
07/13/2020,511.0
07/14/2020,512.0
07/15/2020,540.0
07/16/2020,558.0
07/19/2020,569.0
07/20/2020,590.0
07/21/2020,588.0
07/22/2020,575.0
07/23/2020,572.0
07/26/2020,572.0
07/27/2020,577.0
07/28/2020,575.0
07/29/2020,564.0
07/30/2020,565.0
08/02/2020,547.0
08/03/2020,547.0
08/05/2020,545.0
08/06/2020,541.0
08/09/2020,540.0
08/10/2020,560.0
08/11/2020,557.0
08/12/2020,562.0
08/13/2020,552.0
08/16/2020,542.0
08/17/2020,550.0
08/18/2020,550.0
08/19/2020,539.0
08/20/2020,550.0
08/23/2020,548.0
08/24/2020,552.0
08/25/2020,554.0
08/26/2020,568.0
08/27/2020,568.0
08/30/2020,565.0
08/31/2020,567.0
09/02/2020,572.0
09/03/2020,565.0
09/06/2020,568.0
09/07/2020,555.0
09/08/2020,553.0
09/09/2020,549.0
09/10/2020,553.0
09/13/2020,548.0
09/14/2020,565.0
09/15/2020,566.0
09/16/2020,565.0
09/17/2020,574.0
09/20/2020,575.0
09/21/2020,573.0
09/22/2020,568.0
09/23/2020,567.0
09/24/2020,566.0
