Date,LTP
07/28/2019,1576.0
07/29/2019,1562.0
07/30/2019,1575.0
07/31/2019,1578.0
08/01/2019,1606.0
08/04/2019,1575.0
08/05/2019,1544.0
08/07/2019,1520.0
08/08/2019,1535.0
08/11/2019,1501.0
08/12/2019,1496.0
08/13/2019,1518.0
08/14/2019,1544.0
08/15/2019,1600.0
08/18/2019,1600.0
08/19/2019,1577.0
08/20/2019,1560.0
08/21/2019,1555.0
08/22/2019,1578.0
08/25/2019,1551.0
08/26/2019,1560.0
08/27/2019,1606.0
08/28/2019,1550.0
08/29/2019,1553.0
09/01/2019,1505.0
09/02/2019,1480.0
09/03/2019,1530.0
09/04/2019,1500.0
09/05/2019,1500.0
09/10/2019,1524.0
09/11/2019,1494.0
09/12/2019,1450.0
09/15/2019,1423.0
09/16/2019,1392.0
09/17/2019,1504.0
09/18/2019,1536.0
09/19/2019,1492.0
09/22/2019,1445.0
09/23/2019,1473.0
09/25/2019,1430.0
09/26/2019,1428.0
09/29/2019,1417.0
09/30/2019,1445.0
10/01/2019,1451.0
10/02/2019,1465.0
10/03/2019,1470.0
10/14/2019,1461.0
10/17/2019,1477.0
10/20/2019,1430.0
10/21/2019,1402.0
10/22/2019,1458.0
10/23/2019,1451.0
10/24/2019,1470.0
10/31/2019,1490.0
11/03/2019,1453.0
11/04/2019,1480.0
11/05/2019,1539.0
11/06/2019,1525.0
11/07/2019,1519.0
11/10/2019,1555.0
11/11/2019,1710.0
11/12/2019,1839.0
11/13/2019,1780.0
11/14/2019,1799.0
11/17/2019,1784.0
11/18/2019,1774.0
11/19/2019,1765.0
11/20/2019,1760.0
11/21/2019,1750.0
11/24/2019,1735.0
11/25/2019,1740.0
11/26/2019,1750.0
11/27/2019,1788.0
11/28/2019,1750.0
12/01/2019,1178.0
12/02/2019,1176.0
12/03/2019,1243.0
12/04/2019,1265.0
12/05/2019,1235.0
12/08/2019,1238.0
12/09/2019,1275.0
12/10/2019,1268.0
12/11/2019,1260.0
12/12/2019,1241.0
12/15/2019,1254.0
12/16/2019,1245.0
12/17/2019,1249.0
12/18/2019,1238.0
12/19/2019,1225.0
12/22/2019,1240.0
12/23/2019,1254.0
12/24/2019,1244.0
12/25/2019,1220.0
12/26/2019,1181.0
12/29/2019,1194.0
12/30/2019,1253.0
12/31/2019,1230.0
01/01/2020,1216.0
01/02/2020,1215.0
01/05/2020,1208.0
01/06/2020,1211.0
01/07/2020,1213.0
01/08/2020,1208.0
01/09/2020,1202.0
01/12/2020,1222.0
01/13/2020,1224.0
01/14/2020,1241.0
01/15/2020,1248.0
01/16/2020,1279.0
01/19/2020,1300.0
01/20/2020,1277.0
01/21/2020,1274.0
01/22/2020,1259.0
01/23/2020,1245.0
01/26/2020,1230.0
01/27/2020,1239.0
01/28/2020,1243.0
01/29/2020,1213.0
01/30/2020,1205.0
02/02/2020,1224.0
02/03/2020,1220.0
02/04/2020,1217.0
02/05/2020,1223.0
02/06/2020,1219.0
02/09/2020,1217.0
02/10/2020,1219.0
02/11/2020,1225.0
02/12/2020,1229.0
02/13/2020,1351.0
02/16/2020,1429.0
02/18/2020,1429.0
02/19/2020,1550.0
02/20/2020,1591.0
02/23/2020,1644.0
02/24/2020,1670.0
02/25/2020,1837.0
02/26/2020,1880.0
02/27/2020,1809.0
03/01/2020,1772.0
03/02/2020,1681.0
03/03/2020,1724.0
03/04/2020,1619.0
03/05/2020,1616.0
03/10/2020,1502.0
03/11/2020,1585.0
03/12/2020,1516.0
03/15/2020,1434.0
03/16/2020,1418.0
03/17/2020,1359.0
03/18/2020,1345.0
03/19/2020,1304.0
03/22/2020,1280.0
05/12/2020,1242.0
05/13/2020,1205.0
06/29/2020,1325.0
06/30/2020,1457.0
07/01/2020,1575.0
07/02/2020,1429.0
07/05/2020,1460.0
07/06/2020,1495.0
07/07/2020,1530.0
07/08/2020,1527.0
07/09/2020,1538.0
07/12/2020,1573.0
07/13/2020,1637.0
07/14/2020,1606.0
07/15/2020,1599.0
07/16/2020,1618.0
07/19/2020,1779.0
07/20/2020,1670.0
07/21/2020,1755.0
07/22/2020,1739.0
07/23/2020,1753.0
07/26/2020,1787.0
07/27/2020,1744.0
07/28/2020,1706.0
07/29/2020,1683.0
07/30/2020,1700.0
08/02/2020,1646.0
08/03/2020,1660.0
08/05/2020,1650.0
08/06/2020,1644.0
08/09/2020,1670.0
08/10/2020,1718.0
08/11/2020,1700.0
08/12/2020,1707.0
08/13/2020,1681.0
08/16/2020,1640.0
08/17/2020,1660.0
08/18/2020,1667.0
08/19/2020,1637.0
08/20/2020,1652.0
08/23/2020,1676.0
08/24/2020,1735.0
08/25/2020,1720.0
08/26/2020,1720.0
08/27/2020,1729.0
08/30/2020,1769.0
08/31/2020,1820.0
09/02/2020,1829.0
09/03/2020,1800.0
09/06/2020,1780.0
09/07/2020,1762.0
09/08/2020,1778.0
09/09/2020,1827.0
09/10/2020,1832.0
09/13/2020,1843.0
09/14/2020,1810.0
09/15/2020,1799.0
09/16/2020,1815.0
09/17/2020,1833.0
09/20/2020,1817.0
09/21/2020,1824.0
09/22/2020,1800.0
09/23/2020,1806.0
09/24/2020,1808.0
09/27/2020,1807.0
09/28/2020,1790.0
09/29/2020,1773.0
09/30/2020,1774.0
10/01/2020,1820.0
10/04/2020,1909.0
10/05/2020,1898.0
10/06/2020,1875.0
10/07/2020,1875.0
10/08/2020,1879.0
10/11/2020,1855.0
10/12/2020,1839.0
10/13/2020,1822.0
10/14/2020,1820.0
10/15/2020,1808.0
10/19/2020,1820.0
10/20/2020,1831.0
10/21/2020,1827.0
10/22/2020,1843.0
10/28/2020,1869.0
10/29/2020,1875.0
11/01/2020,1877.0
11/02/2020,1876.0
11/03/2020,1875.0
11/04/2020,1884.0
11/05/2020,1965.0
11/08/2020,2161.0
11/09/2020,2190.0
11/10/2020,2278.0
11/11/2020,2479.0
11/12/2020,2420.0
11/18/2020,2662.0
11/19/2020,2928.0
11/22/2020,2846.0
11/23/2020,3115.0
11/24/2020,3426.0
11/25/2020,3725.0
11/26/2020,3575.0
11/29/2020,3600.0
11/30/2020,3771.0
12/01/2020,3700.0
12/02/2020,4070.0
12/03/2020,4000.0
12/06/2020,3602.0
12/07/2020,3820.0
12/08/2020,3849.0
12/09/2020,3709.0
12/10/2020,4045.0
12/13/2020,4415.0
12/14/2020,4398.0
12/15/2020,4280.0
12/16/2020,4375.0
12/17/2020,4400.0
12/20/2020,4547.0
12/21/2020,4682.0
12/22/2020,4670.0
12/23/2020,4635.0
12/24/2020,4549.0
12/27/2020,4500.0
12/28/2020,4420.0
12/29/2020,4635.0
12/30/2020,5098.0
12/31/2020,5280.0
01/03/2021,3872.0
01/04/2021,3850.0
01/05/2021,3744.0
01/06/2021,3905.0
01/07/2021,4192.0
01/10/2021,4250.0
01/11/2021,4175.0
01/12/2021,4170.0
01/13/2021,4320.0
01/17/2021,4465.0
01/18/2021,4394.0
01/19/2021,4391.0
01/20/2021,4358.0
01/21/2021,4395.0
01/24/2021,4420.0
01/25/2021,4429.0
01/26/2021,4381.0
01/27/2021,4409.0
01/28/2021,4800.0
01/31/2021,4734.0
02/01/2021,4800.0
02/02/2021,4832.0
02/03/2021,4788.0
02/04/2021,4940.0
02/07/2021,4814.0
02/08/2021,4700.0
02/09/2021,4672.0
02/10/2021,4590.0
02/11/2021,4451.0
02/14/2021,4350.0
02/15/2021,4590.0
02/16/2021,4450.0
02/17/2021,4418.0
02/18/2021,4428.0
02/21/2021,4519.0
02/22/2021,4403.0
02/23/2021,4352.0
02/24/2021,4311.0
02/25/2021,4250.0
02/28/2021,4101.0
03/01/2021,4138.0
03/02/2021,3980.0
03/03/2021,3939.0
03/04/2021,4190.0
03/07/2021,4150.0
03/09/2021,4061.0
03/10/2021,4080.0
03/14/2021,3955.0
03/15/2021,3931.0
03/16/2021,3946.0
03/17/2021,4070.0
03/18/2021,4150.0
03/21/2021,4299.0
03/22/2021,4190.0
03/23/2021,4135.0
03/24/2021,4168.0
03/25/2021,4150.0
03/29/2021,4118.0
03/30/2021,4135.0
03/31/2021,4216.0
04/01/2021,4241.0
04/04/2021,4194.0
04/05/2021,4275.0
04/06/2021,4453.0
04/07/2021,4410.0
04/08/2021,4360.0
04/12/2021,4401.0
04/13/2021,4427.0
04/15/2021,4488.0
04/18/2021,4435.0
04/19/2021,4360.0
04/20/2021,4363.0
