Date,LTP
07/28/2019,157.0
07/29/2019,156.0
07/30/2019,158.0
07/31/2019,158.0
08/01/2019,158.0
08/04/2019,155.0
08/05/2019,156.0
08/06/2019,153.0
08/07/2019,156.0
08/08/2019,154.0
08/11/2019,155.0
08/12/2019,156.0
08/13/2019,152.0
08/14/2019,152.0
08/15/2019,149.0
08/18/2019,147.0
08/19/2019,150.0
08/20/2019,149.0
08/21/2019,148.0
08/22/2019,147.0
08/25/2019,147.0
08/26/2019,147.0
08/27/2019,148.0
08/28/2019,145.0
08/29/2019,143.0
09/01/2019,142.0
09/02/2019,140.0
09/03/2019,146.0
09/04/2019,141.0
09/05/2019,139.0
09/08/2019,139.0
09/09/2019,137.0
09/10/2019,137.0
09/11/2019,138.0
09/12/2019,134.0
09/15/2019,131.0
09/16/2019,130.0
09/17/2019,136.0
09/18/2019,139.0
09/19/2019,135.0
09/22/2019,131.0
09/23/2019,132.0
09/25/2019,131.0
09/26/2019,130.0
09/29/2019,131.0
09/30/2019,130.0
10/01/2019,134.0
10/02/2019,135.0
10/03/2019,134.0
10/10/2019,133.0
10/14/2019,139.0
10/15/2019,138.0
10/16/2019,137.0
10/17/2019,140.0
10/20/2019,136.0
10/21/2019,137.0
10/22/2019,137.0
10/23/2019,138.0
10/24/2019,137.0
10/31/2019,135.0
11/03/2019,132.0
11/04/2019,138.0
11/05/2019,136.0
11/06/2019,134.0
11/07/2019,131.0
11/10/2019,131.0
11/11/2019,134.0
11/12/2019,133.0
11/13/2019,131.0
11/14/2019,131.0
11/17/2019,131.0
11/18/2019,130.0
11/19/2019,131.0
11/20/2019,130.0
11/21/2019,131.0
11/24/2019,130.0
11/25/2019,131.0
11/26/2019,133.0
11/27/2019,133.0
11/28/2019,133.0
12/01/2019,132.0
12/02/2019,129.0
12/03/2019,134.0
12/04/2019,135.0
12/05/2019,134.0
12/08/2019,133.0
12/09/2019,135.0
12/10/2019,133.0
12/11/2019,134.0
12/12/2019,139.0
12/15/2019,135.0
12/16/2019,133.0
12/17/2019,132.0
12/18/2019,134.0
12/19/2019,134.0
12/22/2019,131.0
12/23/2019,144.0
12/24/2019,143.0
12/25/2019,146.0
12/26/2019,147.0
12/29/2019,145.0
12/30/2019,144.0
12/31/2019,144.0
01/01/2020,145.0
01/02/2020,134.0
01/05/2020,135.0
01/06/2020,136.0
01/07/2020,135.0
01/08/2020,134.0
01/09/2020,135.0
01/12/2020,140.0
01/13/2020,140.0
01/14/2020,140.0
01/15/2020,141.0
01/16/2020,145.0
01/19/2020,146.0
01/20/2020,141.0
01/21/2020,142.0
01/22/2020,140.0
01/23/2020,137.0
01/26/2020,135.0
01/27/2020,136.0
01/28/2020,137.0
01/29/2020,134.0
01/30/2020,137.0
02/02/2020,138.0
02/03/2020,142.0
02/04/2020,139.0
02/05/2020,137.0
02/06/2020,137.0
02/09/2020,139.0
02/10/2020,140.0
02/11/2020,141.0
02/12/2020,139.0
02/13/2020,139.0
02/16/2020,136.0
02/18/2020,139.0
02/19/2020,139.0
02/23/2020,146.0
02/24/2020,142.0
02/25/2020,155.0
02/26/2020,157.0
02/27/2020,150.0
03/01/2020,148.0
03/02/2020,142.0
03/03/2020,143.0
03/04/2020,138.0
03/05/2020,138.0
03/10/2020,133.0
03/11/2020,140.0
03/12/2020,135.0
03/15/2020,132.0
03/16/2020,134.0
03/17/2020,131.0
03/18/2020,130.0
03/19/2020,130.0
03/22/2020,129.0
05/12/2020,126.0
05/13/2020,124.0
06/29/2020,118.0
06/30/2020,124.0
07/01/2020,130.0
07/02/2020,120.0
07/05/2020,121.0
07/06/2020,128.0
07/07/2020,135.0
07/08/2020,128.0
07/09/2020,127.0
07/12/2020,134.0
07/13/2020,131.0
07/14/2020,131.0
07/15/2020,133.0
07/16/2020,133.0
07/19/2020,135.0
07/20/2020,138.0
07/21/2020,132.0
07/22/2020,132.0
07/23/2020,130.0
07/26/2020,131.0
07/27/2020,132.0
07/28/2020,131.0
07/29/2020,129.0
07/30/2020,130.0
08/02/2020,129.0
08/03/2020,129.0
08/05/2020,128.0
08/06/2020,128.0
08/09/2020,128.0
08/10/2020,128.0
08/11/2020,128.0
08/12/2020,129.0
08/13/2020,128.0
08/16/2020,127.0
08/17/2020,131.0
08/18/2020,129.0
08/19/2020,129.0
08/20/2020,128.0
08/23/2020,127.0
08/24/2020,129.0
08/25/2020,128.0
08/26/2020,130.0
08/27/2020,132.0
08/30/2020,135.0
08/31/2020,142.0
09/02/2020,154.0
09/03/2020,146.0
09/06/2020,144.0
09/07/2020,143.0
09/08/2020,146.0
09/09/2020,146.0
09/10/2020,143.0
09/13/2020,148.0
09/14/2020,157.0
09/15/2020,151.0
09/16/2020,156.0
09/17/2020,171.0
09/20/2020,162.0
09/21/2020,160.0
09/22/2020,158.0
09/23/2020,161.0
09/24/2020,176.0
09/27/2020,181.0
09/28/2020,178.0
09/29/2020,180.0
09/30/2020,178.0
10/01/2020,174.0
10/04/2020,171.0
10/05/2020,176.0
10/06/2020,186.0
10/07/2020,204.0
10/08/2020,197.0
10/11/2020,189.0
10/12/2020,188.0
10/13/2020,186.0
10/14/2020,180.0
10/15/2020,181.0
10/18/2020,181.0
10/19/2020,190.0
10/20/2020,199.0
10/21/2020,194.0
10/22/2020,194.0
10/28/2020,198.0
10/29/2020,205.0
11/01/2020,225.0
11/02/2020,226.0
11/03/2020,229.0
11/04/2020,234.0
11/05/2020,235.0
11/08/2020,245.0
11/09/2020,237.0
11/10/2020,239.0
11/11/2020,237.0
11/12/2020,235.0
11/18/2020,231.0
11/19/2020,242.0
11/22/2020,252.0
11/23/2020,277.0
11/24/2020,294.0
11/25/2020,290.0
11/26/2020,281.0
11/29/2020,276.0
11/30/2020,289.0
12/01/2020,286.0
12/02/2020,293.0
12/03/2020,282.0
12/06/2020,267.0
12/07/2020,289.0
12/08/2020,294.0
12/09/2020,285.0
12/10/2020,284.0
12/13/2020,284.0
12/14/2020,289.0
12/15/2020,287.0
12/16/2020,284.0
12/17/2020,281.0
12/20/2020,257.0
12/21/2020,262.0
12/22/2020,281.0
12/23/2020,272.0
12/24/2020,266.0
12/27/2020,265.0
12/28/2020,260.0
12/29/2020,254.0
12/30/2020,254.0
12/31/2020,255.0
01/03/2021,261.0
01/04/2021,264.0
01/05/2021,266.0
01/06/2021,267.0
01/07/2021,267.0
01/10/2021,269.0
01/11/2021,269.0
01/12/2021,275.0
01/13/2021,277.0
01/17/2021,304.0
01/18/2021,334.0
01/19/2021,327.0
01/20/2021,325.0
01/21/2021,325.0
01/24/2021,357.0
01/25/2021,364.0
01/26/2021,356.0
01/27/2021,354.0
01/28/2021,345.0
01/31/2021,334.0
02/01/2021,347.0
02/02/2021,350.0
02/03/2021,347.0
02/04/2021,346.0
02/07/2021,353.0
02/08/2021,351.0
02/09/2021,344.0
02/10/2021,345.0
02/11/2021,340.0
02/14/2021,332.0
02/15/2021,343.0
02/16/2021,329.0
02/17/2021,325.0
02/18/2021,331.0
02/21/2021,330.0
02/22/2021,328.0
02/23/2021,327.0
02/24/2021,331.0
02/25/2021,328.0
02/28/2021,318.0
03/01/2021,322.0
03/02/2021,329.0
03/03/2021,325.0
03/04/2021,329.0
03/07/2021,332.0
03/09/2021,334.0
03/10/2021,334.0
03/14/2021,331.0
03/15/2021,328.0
03/16/2021,350.0
03/17/2021,370.0
03/18/2021,362.0
03/21/2021,355.0
03/22/2021,352.0
03/23/2021,361.0
03/24/2021,397.0
03/25/2021,392.0
03/29/2021,400.0
03/30/2021,432.0
03/31/2021,470.0
04/01/2021,444.0
04/04/2021,426.0
04/05/2021,437.0
04/06/2021,433.0
04/07/2021,425.0
04/08/2021,423.0
04/12/2021,425.0
04/13/2021,422.0
04/15/2021,444.0
04/18/2021,457.0
04/19/2021,479.0
04/20/2021,470.0
04/21/2021,461.0
04/22/2021,482.0
04/25/2021,458.0
04/26/2021,440.0
04/27/2021,467.0
04/28/2021,476.0
04/29/2021,473.0
05/02/2021,474.0
05/03/2021,485.0
05/04/2021,489.0
05/05/2021,487.0
05/06/2021,525.0
05/09/2021,510.0
05/10/2021,517.0
05/11/2021,525.0
05/12/2021,546.0
05/13/2021,541.0
05/16/2021,556.0
05/17/2021,556.0
05/18/2021,561.0
05/19/2021,552.0
05/20/2021,541.0
05/23/2021,549.0
05/24/2021,588.0
05/25/2021,574.0
05/27/2021,577.0
05/30/2021,569.0
05/31/2021,567.0
06/01/2021,558.0
06/02/2021,561.0
06/03/2021,553.0
06/06/2021,542.0
06/07/2021,552.0
06/08/2021,549.0
06/09/2021,544.0
06/10/2021,585.0
06/13/2021,377.0
06/14/2021,414.0
06/15/2021,438.0
06/16/2021,412.0
06/17/2021,412.0
06/20/2021,393.0
06/21/2021,410.0
06/22/2021,451.0
06/23/2021,465.0
06/24/2021,459.0
06/27/2021,472.0
06/28/2021,508.0
