Date,LTP
01/08/2024,340.1
01/09/2024,374.1
01/10/2024,411.5
01/11/2024,452.6
01/14/2024,497.8
01/16/2024,547.5
01/17/2024,602.2
01/18/2024,653.0
01/21/2024,682.0
01/22/2024,646.0
01/23/2024,659.9
01/24/2024,657.0
01/25/2024,646.8
01/28/2024,645.0
01/29/2024,670.0
01/30/2024,709.6
01/31/2024,714.6
02/01/2024,695.1
02/04/2024,688.1
02/05/2024,685.5
02/06/2024,704.9
02/07/2024,696.1
02/08/2024,689.0
02/11/2024,694.9
02/12/2024,692.1
02/13/2024,672.0
02/14/2024,668.1
02/15/2024,655.7
02/18/2024,645.1
02/20/2024,650.0
02/21/2024,633.2
02/22/2024,624.0
02/25/2024,607.6
02/26/2024,616.0
02/27/2024,610.0
02/28/2024,615.0
02/29/2024,605.4
03/03/2024,595.6
03/04/2024,622.0
03/05/2024,613.5
03/06/2024,624.9
03/07/2024,624.0
03/10/2024,620.0
03/12/2024,635.0
03/13/2024,642.0
03/14/2024,630.5
03/17/2024,620.5
03/18/2024,621.0
03/19/2024,618.0
03/20/2024,614.1
03/21/2024,606.5
03/25/2024,608.9
03/26/2024,608.0
03/27/2024,602.0
03/28/2024,604.1
03/31/2024,600.9
04/01/2024,596.8
04/02/2024,595.2
04/03/2024,595.0
04/04/2024,590.5
04/07/2024,596.0
04/09/2024,623.9
04/10/2024,610.2
04/14/2024,613.2
04/15/2024,606.5
04/16/2024,605.1
04/18/2024,600.0
04/21/2024,601.0
04/22/2024,595.0
04/24/2024,592.1
04/25/2024,592.0
04/28/2024,595.6
04/29/2024,589.0
04/30/2024,590.0
05/02/2024,586.0
05/05/2024,592.5
05/06/2024,575.1
05/07/2024,569.0
05/08/2024,562.0
05/09/2024,560.0
05/12/2024,567.0
05/13/2024,565.0
05/14/2024,570.1
05/15/2024,563.1
05/16/2024,556.6
05/19/2024,582.1
05/20/2024,583.0
05/21/2024,585.7
05/22/2024,595.3
05/26/2024,584.3
05/27/2024,585.1
05/29/2024,578.1
05/30/2024,573.7
06/02/2024,580.0
06/03/2024,572.1
06/04/2024,570.7
06/05/2024,568.1
06/06/2024,561.8
06/09/2024,568.7
06/10/2024,572.7
06/11/2024,570.0
06/12/2024,568.0
06/13/2024,557.5
06/16/2024,552.0
06/18/2024,552.0
06/19/2024,550.6
06/20/2024,543.5
06/23/2024,547.0
06/24/2024,540.0
06/25/2024,543.0
06/26/2024,535.5
06/27/2024,553.0
06/30/2024,539.7
07/01/2024,538.0
07/02/2024,552.0
07/03/2024,541.1
07/04/2024,547.3
07/07/2024,565.0
07/08/2024,562.0
07/09/2024,564.8
07/10/2024,569.9
07/11/2024,577.9
07/14/2024,589.0
07/15/2024,580.0
07/16/2024,590.0
07/17/2024,608.0
07/18/2024,610.0
07/21/2024,638.0
07/22/2024,661.2
07/23/2024,677.0
07/24/2024,663.8
07/25/2024,656.9
