Date,LTP
07/28/2019,216.0
07/29/2019,216.0
07/30/2019,215.0
07/31/2019,216.0
08/01/2019,215.0
08/04/2019,215.0
08/05/2019,214.0
08/06/2019,210.0
08/07/2019,211.0
08/08/2019,211.0
08/11/2019,207.0
08/12/2019,207.0
08/13/2019,207.0
08/14/2019,206.0
08/15/2019,204.0
08/18/2019,202.0
08/19/2019,205.0
08/20/2019,205.0
08/21/2019,204.0
08/22/2019,203.0
08/25/2019,203.0
08/26/2019,202.0
08/27/2019,203.0
08/28/2019,203.0
08/29/2019,203.0
09/01/2019,202.0
09/02/2019,201.0
09/03/2019,204.0
09/04/2019,206.0
09/05/2019,203.0
09/08/2019,203.0
09/09/2019,203.0
09/10/2019,203.0
09/11/2019,204.0
09/12/2019,203.0
09/15/2019,180.0
09/16/2019,178.0
09/17/2019,185.0
09/18/2019,185.0
09/19/2019,178.0
09/22/2019,178.0
09/23/2019,178.0
09/25/2019,176.0
09/26/2019,175.0
09/29/2019,175.0
09/30/2019,178.0
10/01/2019,179.0
10/02/2019,179.0
10/03/2019,182.0
10/10/2019,181.0
10/14/2019,179.0
10/15/2019,182.0
10/16/2019,182.0
10/17/2019,181.0
10/20/2019,178.0
10/21/2019,181.0
10/22/2019,183.0
10/23/2019,185.0
10/24/2019,186.0
10/31/2019,180.0
11/03/2019,180.0
11/04/2019,182.0
11/05/2019,182.0
11/06/2019,181.0
11/07/2019,179.0
11/10/2019,179.0
11/11/2019,185.0
11/12/2019,180.0
11/13/2019,180.0
11/14/2019,180.0
11/17/2019,178.0
11/18/2019,179.0
11/19/2019,179.0
11/20/2019,179.0
11/21/2019,177.0
11/24/2019,177.0
11/25/2019,180.0
11/26/2019,179.0
11/27/2019,180.0
11/28/2019,179.0
12/01/2019,176.0
12/02/2019,178.0
12/03/2019,180.0
12/04/2019,179.0
12/05/2019,179.0
12/08/2019,179.0
12/09/2019,180.0
12/10/2019,182.0
12/11/2019,184.0
12/12/2019,182.0
12/15/2019,185.0
12/16/2019,181.0
12/17/2019,181.0
12/18/2019,179.0
12/19/2019,179.0
12/22/2019,178.0
12/23/2019,183.0
12/24/2019,181.0
12/25/2019,179.0
12/26/2019,179.0
12/29/2019,179.0
12/30/2019,178.0
12/31/2019,177.0
01/01/2020,177.0
01/02/2020,177.0
01/05/2020,181.0
01/06/2020,186.0
01/07/2020,188.0
01/08/2020,186.0
01/09/2020,186.0
01/12/2020,193.0
01/13/2020,192.0
01/14/2020,190.0
01/15/2020,196.0
01/16/2020,203.0
01/19/2020,204.0
01/20/2020,201.0
01/21/2020,200.0
01/22/2020,198.0
01/23/2020,195.0
01/26/2020,190.0
01/27/2020,194.0
01/28/2020,193.0
01/29/2020,193.0
01/30/2020,196.0
02/02/2020,198.0
02/03/2020,202.0
02/04/2020,199.0
02/05/2020,200.0
02/06/2020,197.0
02/09/2020,195.0
02/10/2020,196.0
02/11/2020,198.0
02/12/2020,194.0
02/13/2020,193.0
02/16/2020,194.0
02/18/2020,197.0
02/19/2020,196.0
02/20/2020,196.0
02/23/2020,212.0
02/24/2020,208.0
02/25/2020,211.0
02/26/2020,216.0
02/27/2020,228.0
03/01/2020,227.0
03/02/2020,217.0
03/03/2020,220.0
03/04/2020,211.0
03/05/2020,210.0
03/10/2020,199.0
03/11/2020,207.0
03/12/2020,200.0
03/15/2020,193.0
03/16/2020,192.0
03/17/2020,183.0
03/18/2020,184.0
03/19/2020,185.0
03/22/2020,177.0
05/12/2020,172.0
05/13/2020,167.0
06/29/2020,164.0
06/30/2020,177.0
07/01/2020,191.0
07/02/2020,182.0
07/05/2020,172.0
07/06/2020,184.0
07/07/2020,188.0
07/08/2020,189.0
07/09/2020,187.0
07/12/2020,184.0
07/13/2020,185.0
07/14/2020,186.0
07/15/2020,186.0
07/16/2020,195.0
07/19/2020,201.0
07/20/2020,204.0
07/21/2020,205.0
07/22/2020,199.0
07/23/2020,200.0
07/26/2020,203.0
07/27/2020,201.0
07/28/2020,201.0
07/29/2020,198.0
07/30/2020,199.0
08/02/2020,191.0
08/03/2020,193.0
08/05/2020,190.0
08/06/2020,192.0
08/09/2020,191.0
08/10/2020,193.0
08/11/2020,193.0
08/12/2020,193.0
08/13/2020,192.0
08/16/2020,184.0
08/17/2020,186.0
08/18/2020,186.0
08/19/2020,182.0
08/20/2020,184.0
08/23/2020,184.0
08/24/2020,189.0
08/25/2020,187.0
08/26/2020,189.0
08/27/2020,192.0
08/30/2020,191.0
08/31/2020,191.0
09/02/2020,193.0
09/03/2020,192.0
09/06/2020,190.0
09/07/2020,188.0
09/08/2020,188.0
09/09/2020,186.0
09/10/2020,187.0
09/13/2020,187.0
09/14/2020,189.0
09/15/2020,195.0
09/16/2020,194.0
09/17/2020,203.0
09/20/2020,210.0
09/21/2020,208.0
09/22/2020,203.0
09/23/2020,205.0
09/24/2020,206.0
09/27/2020,215.0
09/28/2020,214.0
09/29/2020,212.0
09/30/2020,212.0
10/01/2020,217.0
10/04/2020,217.0
10/05/2020,222.0
10/06/2020,226.0
10/07/2020,228.0
10/08/2020,230.0
10/11/2020,228.0
10/12/2020,229.0
10/13/2020,223.0
10/14/2020,221.0
10/15/2020,223.0
10/18/2020,222.0
10/19/2020,225.0
10/20/2020,227.0
10/21/2020,236.0
10/22/2020,237.0
10/28/2020,246.0
10/29/2020,239.0
11/01/2020,239.0
11/02/2020,236.0
11/03/2020,236.0
11/04/2020,235.0
11/05/2020,234.0
11/08/2020,238.0
11/09/2020,238.0
11/10/2020,237.0
11/11/2020,240.0
11/12/2020,240.0
11/18/2020,238.0
11/19/2020,239.0
11/22/2020,245.0
11/23/2020,249.0
11/24/2020,251.0
11/25/2020,258.0
11/26/2020,276.0
11/29/2020,303.0
11/30/2020,269.0
12/01/2020,257.0
12/02/2020,256.0
12/03/2020,247.0
12/06/2020,236.0
12/07/2020,241.0
12/08/2020,239.0
12/09/2020,233.0
12/10/2020,231.0
12/13/2020,239.0
12/14/2020,242.0
12/15/2020,239.0
12/16/2020,238.0
12/17/2020,236.0
12/20/2020,226.0
12/21/2020,229.0
12/22/2020,243.0
12/23/2020,248.0
12/24/2020,242.0
12/27/2020,236.0
12/28/2020,235.0
12/29/2020,235.0
12/30/2020,236.0
12/31/2020,241.0
01/03/2021,263.0
01/04/2021,257.0
01/05/2021,257.0
01/06/2021,259.0
01/07/2021,263.0
01/10/2021,289.0
01/11/2021,287.0
01/12/2021,286.0
01/13/2021,284.0
01/17/2021,284.0
01/18/2021,287.0
01/19/2021,284.0
01/20/2021,283.0
01/21/2021,283.0
01/24/2021,297.0
01/25/2021,298.0
01/26/2021,294.0
01/27/2021,291.0
01/28/2021,281.0
01/31/2021,278.0
02/01/2021,280.0
02/02/2021,287.0
02/03/2021,286.0
02/04/2021,285.0
02/07/2021,285.0
