Date,LTP
07/28/2019,1137.0
07/29/2019,1140.0
07/30/2019,1133.0
07/31/2019,1144.0
08/01/2019,1139.0
08/04/2019,1160.0
08/05/2019,1144.0
08/06/2019,1142.0
08/07/2019,1147.0
08/08/2019,1143.0
08/11/2019,1135.0
08/12/2019,1145.0
08/13/2019,1125.0
08/14/2019,1140.0
08/15/2019,1138.0
08/18/2019,1120.0
08/19/2019,1120.0
08/20/2019,1116.0
08/21/2019,1114.0
08/22/2019,1110.0
08/25/2019,1098.0
08/26/2019,1087.0
08/27/2019,1080.0
08/28/2019,1075.0
08/29/2019,1061.0
09/01/2019,1039.0
09/02/2019,1017.0
09/03/2019,1019.0
09/04/2019,1028.0
09/05/2019,1024.0
09/08/2019,1040.0
09/09/2019,1001.0
09/10/2019,1001.0
09/11/2019,995.0
09/12/2019,1014.0
09/15/2019,995.0
09/16/2019,976.0
09/17/2019,1009.0
09/18/2019,1041.0
09/19/2019,1015.0
09/22/2019,1014.0
09/23/2019,1004.0
09/25/2019,996.0
09/26/2019,1004.0
09/29/2019,1000.0
09/30/2019,998.0
10/01/2019,1000.0
10/02/2019,998.0
10/03/2019,999.0
10/10/2019,981.0
10/14/2019,980.0
10/15/2019,993.0
10/16/2019,988.0
10/21/2019,980.0
10/22/2019,987.0
10/23/2019,980.0
10/24/2019,1000.0
11/03/2019,1000.0
11/04/2019,997.0
11/05/2019,990.0
11/06/2019,992.0
11/07/2019,988.0
11/10/2019,980.0
11/11/2019,998.0
11/12/2019,998.0
11/13/2019,982.0
11/14/2019,978.0
11/17/2019,995.0
11/18/2019,990.0
11/19/2019,990.0
11/20/2019,955.0
11/21/2019,970.0
11/24/2019,928.0
11/25/2019,915.0
11/26/2019,915.0
11/27/2019,915.0
11/28/2019,925.0
12/01/2019,949.0
12/02/2019,913.0
12/03/2019,925.0
12/04/2019,954.0
12/05/2019,978.0
12/08/2019,969.0
12/09/2019,990.0
12/10/2019,998.0
12/11/2019,1000.0
12/12/2019,1060.0
12/15/2019,1035.0
12/16/2019,1000.0
12/17/2019,1019.0
12/18/2019,1018.0
12/19/2019,1007.0
