Date,LTP
07/28/2019,797.0
07/29/2019,803.0
07/30/2019,801.0
07/31/2019,800.0
08/01/2019,801.0
08/04/2019,799.0
08/05/2019,800.0
08/06/2019,790.0
08/07/2019,790.0
08/08/2019,790.0
08/11/2019,784.0
08/12/2019,783.0
08/13/2019,782.0
08/14/2019,779.0
08/15/2019,784.0
08/18/2019,779.0
08/19/2019,778.0
08/20/2019,778.0
08/21/2019,778.0
08/22/2019,777.0
08/25/2019,776.0
08/26/2019,775.0
08/27/2019,778.0
08/28/2019,770.0
08/29/2019,770.0
09/01/2019,769.0
09/02/2019,758.0
09/03/2019,774.0
09/04/2019,777.0
09/05/2019,780.0
09/08/2019,776.0
09/09/2019,776.0
09/10/2019,769.0
09/11/2019,772.0
09/12/2019,770.0
09/15/2019,759.0
09/16/2019,742.0
09/17/2019,750.0
09/18/2019,775.0
09/19/2019,770.0
09/22/2019,765.0
09/23/2019,760.0
09/25/2019,759.0
09/26/2019,759.0
09/29/2019,752.0
09/30/2019,760.0
10/01/2019,772.0
10/02/2019,772.0
10/03/2019,769.0
10/10/2019,770.0
10/14/2019,765.0
10/15/2019,763.0
10/16/2019,762.0
10/17/2019,760.0
10/20/2019,757.0
10/21/2019,758.0
10/22/2019,756.0
10/23/2019,762.0
10/24/2019,768.0
10/31/2019,761.0
11/03/2019,760.0
11/04/2019,768.0
11/05/2019,770.0
11/06/2019,768.0
11/07/2019,755.0
11/10/2019,755.0
11/11/2019,753.0
11/12/2019,750.0
11/13/2019,750.0
11/14/2019,749.0
11/17/2019,755.0
11/18/2019,755.0
11/19/2019,753.0
11/20/2019,750.0
11/21/2019,740.0
11/24/2019,730.0
11/25/2019,727.0
11/26/2019,730.0
11/27/2019,732.0
11/28/2019,725.0
12/01/2019,723.0
12/02/2019,725.0
12/03/2019,725.0
12/04/2019,725.0
12/05/2019,730.0
12/08/2019,729.0
12/09/2019,736.0
12/10/2019,743.0
12/11/2019,747.0
12/12/2019,749.0
12/15/2019,752.0
12/16/2019,737.0
12/17/2019,743.0
12/18/2019,748.0
12/19/2019,753.0
12/22/2019,756.0
12/23/2019,750.0
12/24/2019,667.0
12/25/2019,669.0
12/26/2019,676.0
12/29/2019,674.0
12/30/2019,675.0
12/31/2019,681.0
01/01/2020,690.0
01/02/2020,685.0
01/05/2020,697.0
01/06/2020,713.0
01/07/2020,722.0
01/08/2020,721.0
01/09/2020,716.0
01/12/2020,726.0
01/13/2020,730.0
01/14/2020,730.0
01/15/2020,740.0
01/16/2020,751.0
01/19/2020,764.0
01/20/2020,760.0
01/21/2020,755.0
01/22/2020,745.0
01/23/2020,727.0
01/26/2020,710.0
01/27/2020,720.0
01/28/2020,725.0
01/29/2020,724.0
01/30/2020,736.0
02/02/2020,752.0
02/03/2020,738.0
02/04/2020,739.0
02/05/2020,734.0
02/06/2020,726.0
02/09/2020,721.0
02/10/2020,720.0
02/11/2020,723.0
02/12/2020,722.0
02/13/2020,723.0
02/16/2020,724.0
02/18/2020,753.0
02/19/2020,751.0
02/20/2020,755.0
02/23/2020,790.0
02/24/2020,800.0
02/25/2020,814.0
02/26/2020,870.0
02/27/2020,955.0
03/01/2020,940.0
03/02/2020,850.0
03/03/2020,888.0
03/04/2020,847.0
03/05/2020,840.0
03/10/2020,776.0
03/11/2020,815.0
03/12/2020,790.0
03/15/2020,750.0
03/16/2020,750.0
03/17/2020,731.0
03/18/2020,715.0
03/19/2020,730.0
03/22/2020,701.0
05/12/2020,680.0
05/13/2020,660.0
06/29/2020,654.0
06/30/2020,725.0
07/01/2020,770.0
07/02/2020,720.0
07/05/2020,723.0
07/06/2020,737.0
07/07/2020,744.0
07/08/2020,741.0
07/09/2020,742.0
07/12/2020,747.0
07/13/2020,742.0
07/14/2020,745.0
07/15/2020,765.0
07/16/2020,790.0
07/19/2020,869.0
07/20/2020,879.0
07/21/2020,865.0
07/22/2020,846.0
07/23/2020,850.0
07/26/2020,861.0
07/27/2020,862.0
07/28/2020,854.0
07/29/2020,845.0
07/30/2020,851.0
08/02/2020,820.0
08/03/2020,824.0
08/05/2020,824.0
08/06/2020,814.0
08/09/2020,813.0
08/10/2020,832.0
08/11/2020,830.0
08/12/2020,836.0
08/13/2020,825.0
08/16/2020,822.0
08/17/2020,822.0
08/18/2020,830.0
08/19/2020,822.0
08/20/2020,817.0
08/23/2020,824.0
08/24/2020,830.0
08/25/2020,830.0
08/26/2020,841.0
08/27/2020,845.0
08/30/2020,839.0
08/31/2020,839.0
09/02/2020,858.0
09/03/2020,860.0
09/06/2020,855.0
09/07/2020,849.0
09/08/2020,846.0
09/09/2020,844.0
09/10/2020,845.0
09/13/2020,849.0
09/14/2020,856.0
09/15/2020,856.0
09/16/2020,853.0
09/17/2020,859.0
09/20/2020,880.0
09/21/2020,883.0
09/22/2020,872.0
09/23/2020,874.0
09/24/2020,875.0
09/27/2020,874.0
09/28/2020,871.0
09/29/2020,864.0
09/30/2020,859.0
10/01/2020,867.0
10/04/2020,880.0
10/05/2020,876.0
10/06/2020,877.0
10/07/2020,872.0
10/08/2020,869.0
10/11/2020,866.0
10/12/2020,864.0
10/13/2020,864.0
10/14/2020,860.0
10/15/2020,860.0
10/18/2020,859.0
10/19/2020,863.0
10/20/2020,868.0
10/21/2020,880.0
10/22/2020,885.0
10/28/2020,903.0
10/29/2020,902.0
11/01/2020,894.0
11/02/2020,886.0
11/03/2020,888.0
11/04/2020,888.0
11/05/2020,880.0
11/08/2020,870.0
11/09/2020,862.0
11/10/2020,879.0
11/11/2020,883.0
11/12/2020,887.0
11/18/2020,901.0
11/19/2020,905.0
11/22/2020,965.0
11/23/2020,978.0
11/24/2020,972.0
11/25/2020,1025.0
11/26/2020,1130.0
11/29/2020,1185.0
11/30/2020,1159.0
12/01/2020,1119.0
12/02/2020,1125.0
12/03/2020,1140.0
12/06/2020,1078.0
12/07/2020,1118.0
12/08/2020,1124.0
12/09/2020,1101.0
12/10/2020,1120.0
12/13/2020,1159.0
12/14/2020,1227.0
12/15/2020,1240.0
12/16/2020,1248.0
12/17/2020,1235.0
12/20/2020,1205.0
12/21/2020,1231.0
12/22/2020,1354.0
12/23/2020,1489.0
12/24/2020,1425.0
12/27/2020,1384.0
12/29/2020,1386.0
12/30/2020,1101.0
12/31/2020,1100.0
01/03/2021,1125.0
01/04/2021,1111.0
01/05/2021,1097.0
01/06/2021,1096.0
01/07/2021,1091.0
01/10/2021,1126.0
01/11/2021,1125.0
01/12/2021,1140.0
01/13/2021,1132.0
01/17/2021,1128.0
01/18/2021,1128.0
01/19/2021,1117.0
01/20/2021,1103.0
01/21/2021,1109.0
01/24/2021,1115.0
01/25/2021,1176.0
01/26/2021,1168.0
01/27/2021,1182.0
01/28/2021,1145.0
01/31/2021,1110.0
02/01/2021,1120.0
02/03/2021,1120.0
02/04/2021,1116.0
02/07/2021,1114.0
02/08/2021,1165.0
02/09/2021,1163.0
02/10/2021,1176.0
02/11/2021,1213.0
02/14/2021,1221.0
02/15/2021,1321.0
02/16/2021,1365.0
02/17/2021,1391.0
02/18/2021,1367.0
02/21/2021,1355.0
02/22/2021,1319.0
02/23/2021,1335.0
02/24/2021,1350.0
02/25/2021,1322.0
02/28/2021,1296.0
03/01/2021,1314.0
03/02/2021,1274.0
03/03/2021,1244.0
03/04/2021,1300.0
03/07/2021,1285.0
03/09/2021,1275.0
03/10/2021,1255.0
03/14/2021,1215.0
03/15/2021,1205.0
03/17/2021,1219.0
03/18/2021,1243.0
03/21/2021,1260.0
03/22/2021,1244.0
03/23/2021,1234.0
03/24/2021,1239.0
03/25/2021,1227.0
03/29/2021,1232.0
03/30/2021,1236.0
03/31/2021,1294.0
04/04/2021,1316.0
04/05/2021,1315.0
04/06/2021,1311.0
04/07/2021,1317.0
04/08/2021,1330.0
04/12/2021,1348.0
04/13/2021,1380.0
04/18/2021,1335.0
04/19/2021,1318.0
04/20/2021,1315.0
04/21/2021,1294.0
05/04/2021,1274.0
05/12/2021,1262.0
05/19/2021,1302.0
05/20/2021,1300.0
05/27/2021,1294.0
06/01/2021,1292.0
06/02/2021,1293.0
06/03/2021,1309.0
06/06/2021,1330.0
06/10/2021,1304.0
06/13/2021,1304.0
06/30/2021,1296.0
09/08/2021,1415.0
