Date,LTP
07/28/2019,459.0
07/29/2019,462.0
07/30/2019,465.0
07/31/2019,468.0
08/01/2019,467.0
08/04/2019,467.0
08/05/2019,465.0
08/06/2019,458.0
08/07/2019,453.0
08/08/2019,449.0
08/11/2019,449.0
08/12/2019,450.0
08/13/2019,449.0
08/14/2019,443.0
08/15/2019,444.0
08/18/2019,451.0
08/19/2019,460.0
08/20/2019,453.0
08/21/2019,454.0
08/22/2019,454.0
08/25/2019,448.0
08/26/2019,447.0
08/27/2019,447.0
08/28/2019,439.0
08/29/2019,439.0
09/01/2019,440.0
09/02/2019,436.0
09/03/2019,449.0
09/04/2019,451.0
09/05/2019,449.0
09/08/2019,448.0
09/09/2019,448.0
09/10/2019,448.0
09/11/2019,447.0
09/12/2019,448.0
09/15/2019,391.0
09/16/2019,380.0
09/17/2019,387.0
09/18/2019,395.0
09/19/2019,387.0
09/22/2019,383.0
09/23/2019,379.0
09/25/2019,376.0
09/26/2019,375.0
09/29/2019,375.0
09/30/2019,377.0
10/01/2019,384.0
10/02/2019,384.0
10/03/2019,389.0
10/10/2019,385.0
10/14/2019,378.0
10/15/2019,385.0
10/16/2019,386.0
10/17/2019,386.0
10/20/2019,382.0
10/21/2019,384.0
10/22/2019,391.0
10/23/2019,398.0
10/24/2019,411.0
10/31/2019,408.0
11/03/2019,405.0
11/04/2019,400.0
11/05/2019,397.0
11/06/2019,400.0
11/07/2019,399.0
11/10/2019,400.0
11/11/2019,404.0
11/12/2019,398.0
11/13/2019,399.0
11/14/2019,406.0
11/17/2019,418.0
11/18/2019,417.0
11/19/2019,411.0
11/20/2019,410.0
11/21/2019,404.0
11/24/2019,400.0
11/25/2019,405.0
11/26/2019,406.0
11/27/2019,408.0
11/28/2019,406.0
12/01/2019,406.0
12/02/2019,404.0
12/03/2019,405.0
12/04/2019,403.0
12/05/2019,407.0
12/08/2019,405.0
12/09/2019,410.0
12/10/2019,410.0
12/11/2019,414.0
12/12/2019,414.0
12/15/2019,419.0
12/16/2019,418.0
12/17/2019,414.0
12/18/2019,416.0
12/19/2019,413.0
12/22/2019,415.0
12/23/2019,415.0
12/24/2019,414.0
12/25/2019,413.0
12/26/2019,412.0
12/29/2019,408.0
12/30/2019,405.0
12/31/2019,408.0
01/01/2020,411.0
01/02/2020,413.0
01/05/2020,427.0
01/06/2020,440.0
01/07/2020,438.0
01/08/2020,434.0
01/09/2020,433.0
01/12/2020,446.0
01/13/2020,450.0
01/14/2020,443.0
01/15/2020,472.0
01/16/2020,475.0
01/19/2020,477.0
01/20/2020,479.0
01/21/2020,482.0
01/22/2020,478.0
01/23/2020,472.0
01/26/2020,467.0
01/27/2020,471.0
01/28/2020,475.0
01/29/2020,470.0
01/30/2020,480.0
02/02/2020,492.0
02/03/2020,488.0
02/04/2020,481.0
02/05/2020,482.0
02/06/2020,481.0
02/09/2020,483.0
02/10/2020,488.0
02/11/2020,503.0
02/12/2020,508.0
02/13/2020,503.0
02/16/2020,511.0
02/18/2020,548.0
02/19/2020,547.0
02/20/2020,554.0
02/23/2020,596.0
02/24/2020,594.0
02/25/2020,595.0
02/26/2020,610.0
02/27/2020,660.0
03/01/2020,639.0
03/02/2020,603.0
03/03/2020,608.0
03/04/2020,577.0
03/10/2020,526.0
03/15/2020,518.0
03/17/2020,508.0
03/18/2020,505.0
03/19/2020,509.0
03/22/2020,496.0
05/12/2020,482.0
05/13/2020,468.0
06/29/2020,448.0
06/30/2020,506.0
07/01/2020,525.0
07/02/2020,482.0
07/05/2020,490.0
07/06/2020,499.0
07/07/2020,510.0
07/08/2020,505.0
07/09/2020,502.0
07/12/2020,510.0
07/13/2020,516.0
07/14/2020,533.0
07/15/2020,553.0
07/16/2020,570.0
07/19/2020,627.0
07/20/2020,595.0
07/21/2020,587.0
07/22/2020,580.0
07/28/2020,580.0
07/29/2020,570.0
08/05/2020,552.0
08/09/2020,553.0
08/10/2020,574.0
08/16/2020,566.0
08/20/2020,560.0
08/23/2020,565.0
08/24/2020,574.0
08/26/2020,590.0
08/30/2020,581.0
09/03/2020,595.0
09/14/2020,589.0
10/18/2020,572.0
