Date,LTP
07/28/2019,879.0
07/29/2019,874.0
07/31/2019,878.0
08/04/2019,876.0
08/06/2019,875.0
08/08/2019,873.0
08/11/2019,871.0
08/13/2019,875.0
08/14/2019,870.0
08/15/2019,877.0
08/18/2019,868.0
08/20/2019,865.0
08/21/2019,864.0
08/26/2019,843.0
08/27/2019,843.0
08/28/2019,837.0
08/29/2019,829.0
09/01/2019,808.0
09/04/2019,810.0
09/05/2019,808.0
09/08/2019,800.0
09/11/2019,787.0
09/15/2019,769.0
09/16/2019,759.0
09/17/2019,762.0
09/18/2019,775.0
09/19/2019,766.0
09/22/2019,759.0
09/23/2019,760.0
09/25/2019,753.0
09/26/2019,756.0
09/29/2019,751.0
09/30/2019,757.0
10/01/2019,765.0
10/02/2019,758.0
10/03/2019,770.0
10/10/2019,765.0
10/14/2019,760.0
10/15/2019,765.0
10/16/2019,770.0
10/17/2019,776.0
10/20/2019,773.0
10/21/2019,776.0
10/22/2019,780.0
10/23/2019,796.0
10/24/2019,800.0
10/31/2019,802.0
11/03/2019,803.0
11/04/2019,800.0
11/05/2019,795.0
11/06/2019,796.0
11/07/2019,790.0
11/10/2019,781.0
11/12/2019,800.0
11/13/2019,790.0
11/14/2019,798.0
11/17/2019,789.0
11/18/2019,794.0
11/19/2019,792.0
11/20/2019,794.0
11/21/2019,785.0
11/24/2019,785.0
11/25/2019,787.0
11/26/2019,786.0
11/27/2019,796.0
11/28/2019,804.0
12/01/2019,842.0
12/02/2019,832.0
12/03/2019,842.0
12/04/2019,868.0
12/05/2019,890.0
12/08/2019,886.0
12/09/2019,885.0
12/10/2019,881.0
12/11/2019,885.0
12/12/2019,915.0
12/15/2019,900.0
12/16/2019,886.0
12/17/2019,884.0
12/18/2019,881.0
12/19/2019,877.0
12/22/2019,875.0
12/24/2019,885.0
12/25/2019,913.0
01/02/2020,950.0
01/05/2020,965.0
01/08/2020,961.0
01/12/2020,1005.0
01/15/2020,1008.0
01/23/2020,1100.0
02/02/2020,1133.0
02/09/2020,1114.0
02/10/2020,1115.0
02/12/2020,1124.0
02/20/2020,1240.0
02/24/2020,1294.0
02/25/2020,1390.0
03/01/2020,1400.0
03/03/2020,1308.0
03/04/2020,1250.0
03/10/2020,1148.0
03/22/2020,1054.0
05/12/2020,1023.0
05/13/2020,993.0
06/29/2020,1050.0
06/30/2020,1177.0
07/01/2020,1260.0
07/02/2020,1155.0
07/05/2020,1170.0
07/19/2020,1401.0
08/30/2020,1366.0
