Date,LTP
11/07/2019,347.0
11/10/2019,356.0
11/12/2019,380.0
11/13/2019,378.0
11/14/2019,380.0
11/17/2019,385.0
11/18/2019,386.0
11/19/2019,384.0
11/20/2019,386.0
11/21/2019,382.0
11/24/2019,378.0
11/25/2019,379.0
11/26/2019,380.0
11/27/2019,383.0
11/28/2019,383.0
12/01/2019,385.0
12/02/2019,385.0
12/03/2019,385.0
12/04/2019,387.0
12/05/2019,388.0
12/08/2019,388.0
12/10/2019,391.0
12/12/2019,397.0
12/15/2019,405.0
12/16/2019,400.0
12/17/2019,401.0
12/18/2019,400.0
12/22/2019,326.0
12/24/2019,325.0
01/05/2020,329.0
02/20/2020,413.0
02/24/2020,474.0
02/25/2020,477.0
03/03/2020,479.0
03/04/2020,460.0
03/10/2020,423.0
03/22/2020,377.0
05/12/2020,366.0
05/13/2020,356.0
06/29/2020,337.0
06/30/2020,365.0
07/01/2020,399.0
07/02/2020,370.0
07/05/2020,369.0
07/19/2020,454.0
