Date,LTP
08/15/2019,679.0
08/18/2019,666.0
09/25/2019,627.0
09/29/2019,629.0
09/30/2019,624.0
10/01/2019,627.0
10/02/2019,637.0
10/03/2019,637.0
10/10/2019,636.0
10/14/2019,629.0
10/15/2019,634.0
10/16/2019,623.0
10/17/2019,620.0
10/21/2019,620.0
10/22/2019,616.0
10/23/2019,620.0
10/24/2019,632.0
10/31/2019,638.0
11/04/2019,627.0
11/05/2019,624.0
11/06/2019,617.0
11/07/2019,615.0
11/13/2019,622.0
11/14/2019,620.0
11/17/2019,624.0
11/18/2019,624.0
12/01/2019,639.0
12/02/2019,637.0
12/15/2019,665.0
03/04/2020,653.0
03/22/2020,623.0
05/12/2020,605.0
05/13/2020,587.0
06/29/2020,600.0
06/30/2020,639.0
07/01/2020,624.0
07/02/2020,602.0
07/05/2020,610.0
07/19/2020,679.0
